key	id	name	type	code_len
openai_chat_model7	72c7a322-96b7-40d6-9886-e89dad73c218	OpenAI Chat Model7	@n8n/n8n-nodes-langchain.lmChatOpenAi	0
news_web_x_scan_grok_1	1d59404c-8718-43b1-ae79-c30cd4f70cc1	news_web_x_scan (Grok)1	@n8n/n8n-nodes-langchain.agentTool	0
agent_1_portfolio_manager2	c7990d00-1de0-46d4-a768-cef8b5065e5e	Agent #1 - Portfolio manager2	@n8n/n8n-nodes-langchain.agent	0
information_extractor2	303b6613-fc6d-4598-8e1a-81ffc4823f96	Information Extractor2	n8n-nodes-base.code	2037
openai_chat_model13	9912b8c4-4deb-4ea0-9699-617c8c60f915	OpenAI Chat Model13	@n8n/n8n-nodes-langchain.lmChatOpenAi	0
news_web_x_scan_grok_2	0b4389a7-0823-49df-8b87-85815cd2862e	news_web_x_scan (Grok)2	@n8n/n8n-nodes-langchain.agentTool	0
openai_chat_model14	41ab5022-8837-4990-b067-567da3090e84	OpenAI Chat Model14	@n8n/n8n-nodes-langchain.lmChatOpenAi	0
xai_grok_chat_model	8f5495b8-8789-47fa-9b65-d044149f292c	xAI Grok Chat Model	@n8n/n8n-nodes-langchain.lmChatXAiGrok	0
sticky_note2	d703df96-20f2-4c39-a072-eadd8bf8674c	Sticky Note2	n8n-nodes-base.stickyNote	0
sticky_note7	2cf6be07-97b0-4c50-bac9-0abe86fefa2c	Sticky Note7	n8n-nodes-base.stickyNote	0
google_gemini_chat_model	b70e22a5-6b81-49a9-9938-fa8595bfd751	Google Gemini Chat Model	@n8n/n8n-nodes-langchain.lmChatGoogleGemini	0
sticky_note11	965e51ee-6c0f-41c4-80ab-8a5096b1382f	Sticky Note11	n8n-nodes-base.stickyNote	0
xai_grok_chat_model1	16aea577-d8d8-448e-88c0-fbd6d822334c	xAI Grok Chat Model1	@n8n/n8n-nodes-langchain.lmChatXAiGrok	0
07b_ibkr_send_orders	07b-ibkr-send-orders	07b - IBKR Send Orders	n8n-nodes-base.code	11318
ag1_v4_merge_model_proposals	ag1-v4-merge-model-proposals	AG1.V4 — Merge Model Proposals	n8n-nodes-base.merge	0
ag1_v4_build_consensus	ag1-v4-build-consensus	AG1.V4 — Build Consensus	n8n-nodes-base.code	15208
